"class","age_class","gender","fec","deaths","week","pob","class2","date_plot"
"1","60-+","1",2020-04-20,19,17,557258,3,2020-04-20
"1","60-+","2",2020-04-20,42,17,500271,4,2020-04-20
"2","0-59","1",2020-04-20,0,17,624067,5,2020-04-20
"2","0-59","2",2020-04-20,1,17,555371,6,2020-04-20
"2","60-+","1",2020-04-20,1,17,176506,7,2020-04-20
"2","60-+","2",2020-04-20,5,17,126073,8,2020-04-20
"1","0-59","1",2020-04-21,10,17,4190359,1,2020-04-21
"1","0-59","2",2020-04-21,21,17,4074690,2,2020-04-21
"1","60-+","1",2020-04-21,17,17,557258,3,2020-04-21
"1","60-+","2",2020-04-21,63,17,500271,4,2020-04-21
"2","0-59","1",2020-04-21,1,17,624067,5,2020-04-21
"2","0-59","2",2020-04-21,3,17,555371,6,2020-04-21
"2","60-+","1",2020-04-21,3,17,176506,7,2020-04-21
"2","60-+","2",2020-04-21,3,17,126073,8,2020-04-21
"1","0-59","1",2020-04-22,8,17,4190359,1,2020-04-22
"1","0-59","2",2020-04-22,23,17,4074690,2,2020-04-22
"1","60-+","1",2020-04-22,22,17,557258,3,2020-04-22
"1","60-+","2",2020-04-22,60,17,500271,4,2020-04-22
"2","0-59","1",2020-04-22,0,17,624067,5,2020-04-22
"2","0-59","2",2020-04-22,4,17,555371,6,2020-04-22
"2","60-+","1",2020-04-22,4,17,176506,7,2020-04-22
"2","60-+","2",2020-04-22,10,17,126073,8,2020-04-22
"1","0-59","1",2020-04-23,7,17,4190359,1,2020-04-23
"1","0-59","2",2020-04-23,24,17,4074690,2,2020-04-23
"1","60-+","1",2020-04-23,24,17,557258,3,2020-04-23
"1","60-+","2",2020-04-23,58,17,500271,4,2020-04-23
"2","0-59","1",2020-04-23,0,17,624067,5,2020-04-23
"2","0-59","2",2020-04-23,1,17,555371,6,2020-04-23
"2","60-+","1",2020-04-23,8,17,176506,7,2020-04-23
"2","60-+","2",2020-04-23,4,17,126073,8,2020-04-23
"1","0-59","1",2020-04-24,11,17,4190359,1,2020-04-24
"1","0-59","2",2020-04-24,32,17,4074690,2,2020-04-24
"1","60-+","1",2020-04-24,28,17,557258,3,2020-04-24
"1","60-+","2",2020-04-24,62,17,500271,4,2020-04-24
"2","0-59","1",2020-04-24,0,17,624067,5,2020-04-24
